,movieId,title,genres,class
56,60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,Средний рейтинг
57,61,Eye for an Eye (1996),Drama|Thriller,Средний рейтинг
58,62,Mr. Holland's Opus (1995),Drama,Средний рейтинг
59,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,Средний рейтинг
60,64,Two if by Sea (1996),Comedy|Romance,Средний рейтинг
61,65,Bio-Dome (1996),Comedy,Средний рейтинг
62,66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,Низкий рейтинг
63,68,French Twist (Gazon maudit) (1995),Comedy|Romance,Средний рейтинг
64,69,Friday (1995),Comedy,Средний рейтинг
65,70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,Средний рейтинг
66,71,Fair Game (1995),Action,Средний рейтинг
67,72,Kicking and Screaming (1995),Comedy|Drama,Средний рейтинг
68,73,"Misérables, Les (1995)",Drama|War,Высокий рейтинг
69,74,Bed of Roses (1996),Drama|Romance,Средний рейтинг
70,76,Screamers (1995),Action|Sci-Fi|Thriller,Средний рейтинг
71,77,Nico Icon (1995),Documentary,Средний рейтинг
72,78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,Средний рейтинг
73,79,"Juror, The (1996)",Drama|Thriller,Средний рейтинг
74,80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,Высокий рейтинг
75,81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,Средний рейтинг
76,82,Antonia's Line (Antonia) (1995),Comedy|Drama,Средний рейтинг
77,83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,Средний рейтинг
78,84,Last Summer in the Hamptons (1995),Comedy|Drama,Средний рейтинг
79,85,Angels and Insects (1995),Drama|Romance,Высокий рейтинг
80,86,White Squall (1996),Action|Adventure|Drama,Средний рейтинг
81,87,Dunston Checks In (1996),Children|Comedy,Низкий рейтинг
82,88,Black Sheep (1996),Comedy,Средний рейтинг
83,89,Nick of Time (1995),Action|Thriller,Средний рейтинг
84,92,Mary Reilly (1996),Drama|Horror|Thriller,Средний рейтинг
85,93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,Средний рейтинг
86,94,Beautiful Girls (1996),Comedy|Drama|Romance,Средний рейтинг
87,95,Broken Arrow (1996),Action|Adventure|Thriller,Средний рейтинг
88,96,In the Bleak Midwinter (1995),Comedy|Drama,Низкий рейтинг
89,97,"Hate (Haine, La) (1995)",Crime|Drama,Средний рейтинг
90,98,Shopping (1994),Action|Thriller,Средний рейтинг
91,99,Heidi Fleiss: Hollywood Madam (1995),Documentary,Средний рейтинг
92,100,City Hall (1996),Drama|Thriller,Средний рейтинг
93,101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,Средний рейтинг
94,102,Mr. Wrong (1996),Comedy,Средний рейтинг
95,103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,Средний рейтинг
96,104,Happy Gilmore (1996),Comedy,Средний рейтинг
97,105,"Bridges of Madison County, The (1995)",Drama|Romance,Средний рейтинг
98,107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,Средний рейтинг
99,108,Catwalk (1996),Documentary,Средний рейтинг
100,110,Braveheart (1995),Action|Drama|War,Средний рейтинг
101,111,Taxi Driver (1976),Crime|Drama|Thriller,Высокий рейтинг
102,112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,Средний рейтинг
103,113,Before and After (1996),Drama|Mystery,Средний рейтинг
104,114,Margaret's Museum (1995),Drama,Средний рейтинг
105,116,Anne Frank Remembered (1995),Documentary,Высокий рейтинг
106,117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,Средний рейтинг
107,118,If Lucy Fell (1996),Comedy|Romance,Средний рейтинг
108,119,"Steal Big, Steal Little (1995)",Comedy,Средний рейтинг
109,121,"Boys of St. Vincent, The (1992)",Drama,Средний рейтинг
110,122,Boomerang (1992),Comedy|Romance,Средний рейтинг
111,123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,Средний рейтинг
112,124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,Средний рейтинг
113,125,Flirting With Disaster (1996),Comedy,Средний рейтинг
114,126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,Средний рейтинг
115,129,Pie in the Sky (1996),Comedy|Romance,Средний рейтинг
116,130,Angela (1995),Drama,Высокий рейтинг
117,131,Frankie Starlight (1995),Drama|Romance,Низкий рейтинг
118,132,Jade (1995),Thriller,Средний рейтинг
119,135,Down Periscope (1996),Comedy,Средний рейтинг
120,137,Man of the Year (1995),Documentary,Низкий рейтинг
121,140,Up Close and Personal (1996),Drama|Romance,Средний рейтинг
122,141,"Birdcage, The (1996)",Comedy,Средний рейтинг
123,144,"Brothers McMullen, The (1995)",Comedy,Средний рейтинг
124,145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,Средний рейтинг
125,146,"Amazing Panda Adventure, The (1995)",Adventure|Children,Высокий рейтинг
126,147,"Basketball Diaries, The (1995)",Drama,Средний рейтинг
127,148,"Awfully Big Adventure, An (1995)",Drama,Средний рейтинг
128,149,Amateur (1994),Crime|Drama|Thriller,Высокий рейтинг
129,150,Apollo 13 (1995),Adventure|Drama|IMAX,Средний рейтинг
130,151,Rob Roy (1995),Action|Drama|Romance|War,Средний рейтинг
131,152,"Addiction, The (1995)",Drama|Horror,Средний рейтинг
132,153,Batman Forever (1995),Action|Adventure|Comedy|Crime,Средний рейтинг
133,154,Beauty of the Day (Belle de jour) (1967),Drama,Средний рейтинг
134,155,Beyond Rangoon (1995),Adventure|Drama|War,Средний рейтинг
135,156,Blue in the Face (1995),Comedy|Drama,Средний рейтинг
136,157,Canadian Bacon (1995),Comedy|War,Средний рейтинг
137,158,Casper (1995),Adventure|Children,Средний рейтинг
138,159,Clockers (1995),Crime|Drama|Mystery,Средний рейтинг
139,160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,Средний рейтинг
140,161,Crimson Tide (1995),Drama|Thriller|War,Средний рейтинг
141,162,Crumb (1994),Documentary,Высокий рейтинг
142,163,Desperado (1995),Action|Romance|Western,Средний рейтинг
143,164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,Средний рейтинг
144,165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,Средний рейтинг
145,166,"Doom Generation, The (1995)",Comedy|Crime|Drama,Средний рейтинг
146,167,Feast of July (1995),Drama,Средний рейтинг
147,168,First Knight (1995),Action|Drama|Romance,Средний рейтинг
148,169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,Средний рейтинг
149,170,Hackers (1995),Action|Adventure|Crime|Thriller,Средний рейтинг
150,171,Jeffrey (1995),Comedy|Drama,Высокий рейтинг
151,172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,Средний рейтинг
152,173,Judge Dredd (1995),Action|Crime|Sci-Fi,Средний рейтинг
153,174,Jury Duty (1995),Comedy,Средний рейтинг
154,175,Kids (1995),Drama,Средний рейтинг
155,176,Living in Oblivion (1995),Comedy,Средний рейтинг
156,177,Lord of Illusions (1995),Horror,Средний рейтинг
157,178,Love & Human Remains (1993),Comedy|Drama,Высокий рейтинг
158,179,Mad Love (1995),Drama|Romance,Средний рейтинг
159,180,Mallrats (1995),Comedy|Romance,Средний рейтинг
160,181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,Низкий рейтинг
161,183,Mute Witness (1994),Comedy|Horror|Thriller,Высокий рейтинг
162,184,Nadja (1994),Drama,Высокий рейтинг
163,185,"Net, The (1995)",Action|Crime|Thriller,Средний рейтинг
164,186,Nine Months (1995),Comedy|Romance,Средний рейтинг
165,187,Party Girl (1995),Comedy,Средний рейтинг
166,188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,Средний рейтинг
167,189,Reckless (1995),Comedy|Fantasy,Средний рейтинг
168,190,Safe (1995),Thriller,Средний рейтинг
169,191,"Scarlet Letter, The (1995)",Drama|Romance,Средний рейтинг
170,193,Showgirls (1995),Drama,Средний рейтинг
171,194,Smoke (1995),Comedy|Drama,Высокий рейтинг
172,195,Something to Talk About (1995),Comedy|Drama|Romance,Средний рейтинг
173,196,Species (1995),Horror|Sci-Fi,Средний рейтинг
174,198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,Средний рейтинг
175,199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,Средний рейтинг
176,200,"Tie That Binds, The (1995)",Thriller,Средний рейтинг
177,201,Three Wishes (1995),Drama|Fantasy,Средний рейтинг
178,202,Total Eclipse (1995),Drama|Romance,Средний рейтинг
179,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,Средний рейтинг
180,204,Under Siege 2: Dark Territory (1995),Action,Средний рейтинг
181,205,Unstrung Heroes (1995),Comedy|Drama,Средний рейтинг
182,206,Unzipped (1995),Documentary,Средний рейтинг
183,207,"Walk in the Clouds, A (1995)",Drama|Romance,Средний рейтинг
184,208,Waterworld (1995),Action|Adventure|Sci-Fi,Средний рейтинг
185,209,White Man's Burden (1995),Drama,Средний рейтинг
186,211,"Browning Version, The (1994)",Drama,Средний рейтинг
187,213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,Высокий рейтинг
188,214,Before the Rain (Pred dozhdot) (1994),Drama|War,Средний рейтинг
189,215,Before Sunrise (1995),Drama|Romance,Средний рейтинг
190,216,Billy Madison (1995),Comedy,Средний рейтинг
191,217,"Babysitter, The (1995)",Drama|Thriller,Средний рейтинг
192,218,Boys on the Side (1995),Comedy|Drama,Средний рейтинг
193,219,"Cure, The (1995)",Drama,Высокий рейтинг
194,220,Castle Freak (1995),Horror,Средний рейтинг
195,222,Circle of Friends (1995),Drama|Romance,Средний рейтинг
196,223,Clerks (1994),Comedy,Средний рейтинг
197,224,Don Juan DeMarco (1995),Comedy|Drama|Romance,Средний рейтинг
198,225,Disclosure (1994),Drama|Thriller,Средний рейтинг
199,227,Drop Zone (1994),Action|Thriller,Средний рейтинг
200,228,Destiny Turns on the Radio (1995),Comedy,Низкий рейтинг
201,229,Death and the Maiden (1994),Drama|Thriller,Высокий рейтинг
202,230,Dolores Claiborne (1995),Drama|Thriller,Средний рейтинг
203,231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,Средний рейтинг
204,232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,Высокий рейтинг
205,233,Exotica (1994),Drama,Высокий рейтинг
206,234,Exit to Eden (1994),Comedy,Средний рейтинг
207,235,Ed Wood (1994),Comedy|Drama,Средний рейтинг
208,236,French Kiss (1995),Action|Comedy|Romance,Средний рейтинг
209,237,Forget Paris (1995),Comedy|Romance,Средний рейтинг
210,238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,Средний рейтинг
211,239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,Средний рейтинг
212,240,Hideaway (1995),Thriller,Средний рейтинг
213,241,Fluke (1995),Children|Drama,Средний рейтинг
214,242,Farinelli: il castrato (1994),Drama|Musical,Средний рейтинг
215,243,Gordy (1995),Children|Comedy|Fantasy,Средний рейтинг
216,244,Gumby: The Movie (1995),Animation|Children,Средний рейтинг
217,245,The Glass Shield (1994),Crime|Drama,Средний рейтинг
218,246,Hoop Dreams (1994),Documentary,Высокий рейтинг
219,247,Heavenly Creatures (1994),Crime|Drama,Средний рейтинг
220,248,Houseguest (1994),Comedy,Средний рейтинг
221,249,Immortal Beloved (1994),Drama|Romance,Средний рейтинг
222,250,Heavyweights (Heavy Weights) (1995),Children|Comedy,Средний рейтинг
223,251,"Hunted, The (1995)",Action,Средний рейтинг
224,252,I.Q. (1994),Comedy|Romance,Средний рейтинг
225,253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,Средний рейтинг
226,254,Jefferson in Paris (1995),Drama,Средний рейтинг
227,255,"Jerky Boys, The (1995)",Comedy,Средний рейтинг
228,256,Junior (1994),Comedy|Sci-Fi,Средний рейтинг
229,257,Just Cause (1995),Mystery|Thriller,Средний рейтинг
230,258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,Средний рейтинг
231,259,Kiss of Death (1995),Crime|Drama|Thriller,Средний рейтинг
232,260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,Высокий рейтинг
233,261,Little Women (1994),Drama,Средний рейтинг
234,262,"Little Princess, A (1995)",Children|Drama,Средний рейтинг
235,263,Ladybird Ladybird (1994),Drama,Средний рейтинг
236,264,"Enfer, L' (1994)",Drama,Высокий рейтинг
237,265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,Средний рейтинг
238,266,Legends of the Fall (1994),Drama|Romance|War|Western,Средний рейтинг
239,267,Major Payne (1995),Comedy,Средний рейтинг
240,268,Little Odessa (1994),Crime|Drama,Высокий рейтинг
241,269,My Crazy Life (Mi vida loca) (1993),Drama,Средний рейтинг
242,270,Love Affair (1994),Drama|Romance,Средний рейтинг
243,271,Losing Isaiah (1995),Drama,Средний рейтинг
244,272,"Madness of King George, The (1994)",Comedy|Drama,Средний рейтинг
245,273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,Средний рейтинг
246,274,Man of the House (1995),Comedy,Средний рейтинг
247,275,Mixed Nuts (1994),Comedy,Средний рейтинг
248,276,Milk Money (1994),Comedy|Romance,Средний рейтинг
249,277,Miracle on 34th Street (1994),Drama,Средний рейтинг
250,278,Miami Rhapsody (1995),Comedy,Средний рейтинг
251,279,My Family (1995),Drama,Средний рейтинг
252,280,Murder in the First (1995),Drama|Thriller,Высокий рейтинг
253,281,Nobody's Fool (1994),Comedy|Drama|Romance,Средний рейтинг
254,282,Nell (1994),Drama,Средний рейтинг
255,283,New Jersey Drive (1995),Crime|Drama,Средний рейтинг
256,285,Beyond Bedlam (1993),Drama|Horror,Средний рейтинг
257,287,Nina Takes a Lover (1994),Comedy|Romance,Средний рейтинг
258,288,Natural Born Killers (1994),Action|Crime|Thriller,Средний рейтинг
259,289,Only You (1994),Comedy|Romance,Средний рейтинг
260,290,Once Were Warriors (1994),Crime|Drama,Средний рейтинг
261,291,Poison Ivy II (1996),Drama|Thriller,Низкий рейтинг
262,292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,Средний рейтинг
263,293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,Высокий рейтинг
264,294,"Perez Family, The (1995)",Comedy|Romance,Средний рейтинг
265,295,"Pyromaniac's Love Story, A (1995)",Comedy|Romance,Средний рейтинг
266,296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,Высокий рейтинг
267,299,Priest (1994),Drama,Средний рейтинг
268,300,Quiz Show (1994),Drama,Средний рейтинг
269,301,Picture Bride (Bijo photo) (1994),Drama|Romance,Высокий рейтинг
270,302,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance,Средний рейтинг
271,303,"Quick and the Dead, The (1995)",Action|Thriller|Western,Средний рейтинг
272,304,Roommates (1995),Comedy|Drama,Средний рейтинг
273,305,Ready to Wear (Pret-A-Porter) (1994),Comedy,Средний рейтинг
274,306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama,Высокий рейтинг
275,307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,Высокий рейтинг
276,308,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama,Высокий рейтинг
277,309,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",Drama,Высокий рейтинг
278,312,Stuart Saves His Family (1995),Comedy,Средний рейтинг
279,313,"Swan Princess, The (1994)",Animation|Children,Средний рейтинг
280,314,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery,Средний рейтинг
281,315,"Specialist, The (1994)",Action|Drama|Thriller,Средний рейтинг
282,316,Stargate (1994),Action|Adventure|Sci-Fi,Средний рейтинг
283,317,"Santa Clause, The (1994)",Comedy|Drama|Fantasy,Средний рейтинг
284,318,"Shawshank Redemption, The (1994)",Crime|Drama,Высокий рейтинг
285,319,Shallow Grave (1994),Comedy|Drama|Thriller,Средний рейтинг
286,320,Suture (1993),Film-Noir|Thriller,Средний рейтинг
287,321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,Средний рейтинг
288,322,Swimming with Sharks (1995),Comedy|Drama,Средний рейтинг
289,324,"Sum of Us, The (1994)",Comedy|Drama,Средний рейтинг
290,325,National Lampoon's Senior Trip (1995),Comedy,Средний рейтинг
291,326,To Live (Huozhe) (1994),Drama,Высокий рейтинг
292,327,Tank Girl (1995),Action|Comedy|Sci-Fi,Средний рейтинг
293,328,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller,Средний рейтинг
294,329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi,Средний рейтинг
295,330,Tales from the Hood (1995),Action|Crime|Horror,Средний рейтинг
296,331,Tom & Viv (1994),Drama,Средний рейтинг
297,332,Village of the Damned (1995),Horror|Sci-Fi,Средний рейтинг
298,333,Tommy Boy (1995),Comedy,Средний рейтинг
299,334,Vanya on 42nd Street (1994),Drama,Средний рейтинг
300,335,Underneath (1995),Mystery|Thriller,Средний рейтинг
301,336,"Walking Dead, The (1995)",Drama|War,Средний рейтинг
302,337,What's Eating Gilbert Grape (1993),Drama,Средний рейтинг
303,338,Virtuosity (1995),Action|Sci-Fi|Thriller,Средний рейтинг
304,339,While You Were Sleeping (1995),Comedy|Romance,Средний рейтинг
305,340,"War, The (1994)",Adventure|Drama|War,Средний рейтинг
306,341,Double Happiness (1994),Drama,Высокий рейтинг
307,342,Muriel's Wedding (1994),Comedy,Средний рейтинг
308,343,"Baby-Sitters Club, The (1995)",Children,Средний рейтинг
309,344,Ace Ventura: Pet Detective (1994),Comedy,Средний рейтинг
310,345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,Средний рейтинг
311,346,Backbeat (1993),Drama|Musical,Средний рейтинг
312,347,Bitter Moon (1992),Drama|Film-Noir|Romance,Средний рейтинг
313,348,Bullets Over Broadway (1994),Comedy,Средний рейтинг
314,349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,Средний рейтинг
315,350,"Client, The (1994)",Drama|Mystery|Thriller,Средний рейтинг
316,351,"Corrina, Corrina (1994)",Comedy|Drama|Romance,Средний рейтинг
317,352,Crooklyn (1994),Comedy|Drama,Средний рейтинг
318,353,"Crow, The (1994)",Action|Crime|Fantasy|Thriller,Средний рейтинг
319,354,Cobb (1994),Drama,Средний рейтинг
320,355,"Flintstones, The (1994)",Children|Comedy|Fantasy,Средний рейтинг
321,356,Forrest Gump (1994),Comedy|Drama|Romance|War,Высокий рейтинг
322,357,Four Weddings and a Funeral (1994),Comedy|Romance,Средний рейтинг
323,358,Higher Learning (1995),Drama,Средний рейтинг
324,360,I Love Trouble (1994),Action|Comedy,Средний рейтинг
325,361,It Could Happen to You (1994),Comedy|Drama|Romance,Средний рейтинг
326,362,"Jungle Book, The (1994)",Adventure|Children|Romance,Средний рейтинг
327,363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary,Высокий рейтинг
328,364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,Средний рейтинг
329,365,Little Buddha (1993),Drama,Средний рейтинг
330,366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller,Средний рейтинг
331,367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,Средний рейтинг
332,368,Maverick (1994),Adventure|Comedy|Western,Средний рейтинг
333,369,Mrs. Parker and the Vicious Circle (1994),Drama,Средний рейтинг
334,370,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy,Средний рейтинг
335,371,"Paper, The (1994)",Comedy|Drama,Средний рейтинг
336,372,Reality Bites (1994),Comedy|Drama|Romance,Средний рейтинг
337,373,Red Rock West (1992),Thriller,Высокий рейтинг
338,374,Richie Rich (1994),Children|Comedy,Средний рейтинг
339,375,Safe Passage (1994),Drama,Средний рейтинг
340,376,"River Wild, The (1994)",Action|Thriller,Средний рейтинг
341,377,Speed (1994),Action|Romance|Thriller,Средний рейтинг
342,378,Speechless (1994),Comedy|Romance,Средний рейтинг
343,379,Timecop (1994),Action|Sci-Fi|Thriller,Средний рейтинг
344,380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,Средний рейтинг
345,381,When a Man Loves a Woman (1994),Drama|Romance,Средний рейтинг
346,382,Wolf (1994),Drama|Horror|Romance|Thriller,Средний рейтинг
347,383,Wyatt Earp (1994),Western,Средний рейтинг
348,384,Bad Company (1995),Action|Crime|Drama,Средний рейтинг
349,387,"Low Down Dirty Shame, A (1994)",Action|Comedy,Средний рейтинг
350,388,Boys Life (1995),Drama,Средний рейтинг
351,389,"Colonel Chabert, Le (1994)",Drama|Romance|War,Средний рейтинг
352,390,Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama,Высокий рейтинг
353,391,Jason's Lyric (1994),Crime|Drama,Средний рейтинг
354,392,"Secret Adventures of Tom Thumb, The (1993)",Adventure|Animation,Средний рейтинг
355,393,Street Fighter (1994),Action|Adventure|Fantasy,Средний рейтинг
356,401,Mirage (1995),Action|Thriller,Средний рейтинг
357,405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy,Средний рейтинг
358,407,In the Mouth of Madness (1995),Horror|Thriller,Средний рейтинг
359,408,8 Seconds (1994),Drama,Средний рейтинг
360,409,Above the Rim (1994),Crime|Drama,Средний рейтинг
361,410,Addams Family Values (1993),Children|Comedy|Fantasy,Средний рейтинг
362,412,"Age of Innocence, The (1993)",Drama,Средний рейтинг
363,413,Airheads (1994),Comedy,Средний рейтинг
364,414,"Air Up There, The (1994)",Comedy,Средний рейтинг
365,415,Another Stakeout (1993),Comedy|Thriller,Средний рейтинг
366,416,Bad Girls (1994),Western,Средний рейтинг
367,417,Barcelona (1994),Comedy|Romance,Средний рейтинг
368,418,Being Human (1993),Drama,Средний рейтинг
369,419,"Beverly Hillbillies, The (1993)",Comedy,Средний рейтинг
370,420,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller,Средний рейтинг
371,421,Black Beauty (1994),Adventure|Children|Drama,Средний рейтинг
372,422,Blink (1994),Thriller,Средний рейтинг
373,423,Blown Away (1994),Action|Thriller,Средний рейтинг
374,424,Blue Chips (1994),Drama,Средний рейтинг
375,425,Blue Sky (1994),Drama|Romance,Средний рейтинг
376,426,Body Snatchers (1993),Horror|Sci-Fi|Thriller,Средний рейтинг
377,427,Boxing Helena (1993),Drama|Mystery|Romance|Thriller,Средний рейтинг
378,428,"Bronx Tale, A (1993)",Drama,Средний рейтинг
379,429,Cabin Boy (1994),Comedy,Средний рейтинг
380,431,Carlito's Way (1993),Crime|Drama,Средний рейтинг
381,432,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western,Средний рейтинг
382,433,Clean Slate (1994),Comedy,Средний рейтинг
383,434,Cliffhanger (1993),Action|Adventure|Thriller,Средний рейтинг
384,435,Coneheads (1993),Comedy|Sci-Fi,Средний рейтинг
385,436,Color of Night (1994),Drama|Thriller,Средний рейтинг
386,437,Cops and Robbersons (1994),Comedy,Средний рейтинг
387,438,"Cowboy Way, The (1994)",Action|Comedy|Drama,Средний рейтинг
388,439,Dangerous Game (1993),Drama,Низкий рейтинг
389,440,Dave (1993),Comedy|Romance,Средний рейтинг
390,441,Dazed and Confused (1993),Comedy,Средний рейтинг
391,442,Demolition Man (1993),Action|Adventure|Sci-Fi,Средний рейтинг
